disease,clean_description,recommended_pesticide
healthy,visual check indicates sudden leaf edge remain intact smooth extensive stem firm unblemished,No pesticide needed
Late_blight,inspection reveals slight large irregular brown patch appear leaf visible infected area emit musty odor moderate fruit develop firm dark lesion greasy texture,Neem oil
healthy,agronomist note rapid sign curling wilting moderate flower appear healthy plentiful,No pesticide needed
Bacterial_spot,inspection reveals visible leaf edge become ragged torn severe spot enlarge develop yellow halo visible tiny dark speck appear young leaf,Sulfur spray
Bacterial_spot,inspection reveals moderate lower leaf drop prematurely notable infected fruit show raised scabby lesion,Biological predators
Late_blight,farmer complains slight edge lesion look watersoaked,Neem oil
Target_Spot,according grower visible spot prominent humid condition sporadic spot develop yellow halo expand,Bacillus subtilis
Early_blight,rapid foliage appears scorched curled severe brown patch coalesce larger necrotic area rapid leaf yellow around brown lesion,Neem oil
Early_blight,slight lower leaf drop prematurely stress rapid small dark spot develop concentric ring,Neem oil
Septoria_leaf_spot,sudden severe infection reduce fruit yield sudden lower leaf drop early season visible stem remain largely unaffected,Neem oil
Late_blight,farmer report sudden whole field appear scorched dead,Sulfur spray
Septoria_leaf_spot,according grower clear spot increase rapidly wet condition,Neem oil
Early_blight,farmer complains sudden leaf drop prematurely stress sporadic leaf edge appear scorched curled,Horticultural oil
healthy,visual check indicates clear stem firm unblemished severe growth appears vigorous steady,No pesticide needed
Septoria_leaf_spot,field observation show sudden spot remain le ⅛ inch diameter,Neem oil
Late_blight,field observation show rapid edge lesion look watersoaked,Neem oil
healthy,agronomist note extensive stem appear firm upright rapid fruit set appears normal healthy,No pesticide needed
Tomato_mosaic_virus,notable flower formation may reduced,Biological predators
Bacterial_spot,inspection reveals slight warm wet weather increase disease spread sporadic new growth appears stunted distorted extensive infected fruit show raised scabby lesion,Biological predators
Spider_mites_Two_spotted_spider_mite,visual check indicates notable webbing may visible leaf stem slight fruit development may stunted,Sulfur spray
Bacterial_spot,field observation show rapid bacterial ooze may visible moist condition clear spot sometimes merge larger dead area extensive infected fruit show raised scabby lesion,Biological predators
Late_blight,notable fruit rot occurs quickly infection,Neem oil
Spider_mites_Two_spotted_spider_mite,inspection reveals rapid leaf surface feel dry rough visible infested leaf drop prematurely,Sulfur spray
Bacterial_spot,visual check indicates sudden infected fruit show raised scabby lesion clear lesion become angular watersoaked sporadic tiny dark spot appear young leaf,Biological predators
Late_blight,visual check indicates slight stem show brown streak near soil level visible blight odor noticeable severe infection moderate edge lesion appear watersoaked greasy,Sulfur spray
Septoria_leaf_spot,field observation show notable tiny dark speck appear pale center visible yellow halo surround small lesion severe severe infection reduce fruit yield,Neem oil
Septoria_leaf_spot,visual check indicates sudden spot remain le ⅛ inch diameter,Neem oil
Bacterial_spot,rapid brown streak may appear stem severe tiny dark speck appear young leaf clear leaf edge become ragged torn,Sulfur spray
healthy,farmer complains rapid tuber development appears uniform healthy sudden leaf edge remain intact smooth extensive plant show sign stress pest,No pesticide needed
healthy,farmer complains extensive plant maintain strong upright growth slight growth appears vigorous steady extensive leaf lush green visible spot,No pesticide needed
Early_blight,agronomist note sporadic spot expand warm humid weather sudden leaf edge appear scorched curled,Horticultural oil
Late_blight,according grower slight whole field appear scorched dead,Sulfur spray
Septoria_leaf_spot,visual check indicates visible tiny dark speck appear pale center,Neem oil
Tomato_YellowLeaf_Curl_Virus,field observation show moderate growth becomes stunted bushy,Horticultural oil
Spider_mites_Two_spotted_spider_mite,farmer complains slight fruit development may stunted,Sulfur spray
Target_Spot,farmer report slight fruit show dark speck near stem end,Bacillus subtilis
healthy,according grower extensive flower appear healthy plentiful slight fruit develop evenly blemish,No pesticide needed
Early_blight,slight plant vigor decrease time severe leaf drop prematurely stress,Horticultural oil
Early_blight,farmer report visible dark spot sometimes appear stem clear leaf yellow around brown lesion clear severe case cause significant leaf loss,Neem oil
Leaf_Mold,visual check indicates notable fruit development may reduced,Sulfur spray
Late_blight,inspection reveals slight edge lesion look watersoaked sudden leaf collapse suddenly without warning,Neem oil
Bacterial_spot,field observation show slight lesion become angular watersoaked sudden spot sometimes merge larger dead area sporadic warm wet weather increase disease spread,Biological predators
Late_blight,farmer report sporadic leaf collapse suddenly without warning,Neem oil
Early_blight,visual check indicates extensive leaf yellow around brown lesion clear small dark spot develop concentric ring,Neem oil
Target_Spot,agronomist note notable leaf show circular irregular necrotic area rapid spot prominent humid condition sudden small dark lesion appear lower leaf,Bacillus subtilis
Leaf_Mold,rapid leaf curl become brittle,Sulfur spray
healthy,agronomist note rapid leaf edge remain intact smooth,No pesticide needed
Bacterial_spot,farmer report moderate bacterial ooze may visible moist condition sudden new growth appears stunted distorted,Biological predators
Bacterial_spot,field observation show slight bacterial ooze may visible moist condition sudden spot sometimes merge larger dead area,Biological predators
Bacterial_spot,farmer complains sporadic spot sometimes merge larger dead area rapid infected fruit show raised scabby lesion moderate warm wet weather increase disease spread,Biological predators
Early_blight,field observation show sudden leaf edge appear scorched curled visible fruit develop sunken leathery patch,Horticultural oil
Bacterial_spot,field observation show rapid lower leaf drop early stress,Sulfur spray
Septoria_leaf_spot,according grower sporadic spot increase rapidly wet condition visible tiny dark speck appear pale center,Neem oil
Late_blight,farmer report moderate edge lesion appear watersoaked greasy,Sulfur spray
Target_Spot,according grower notable spot develop yellow halo expand severe severe infection lead premature leaf drop,Bacillus subtilis
Spider_mites_Two_spotted_spider_mite,farmer report notable leaf turn bronze curl extensive mite thrive hot dry condition,Sulfur spray
Leaf_Mold,agronomist note slight fruit development may reduced sudden disease thrives high humidity poor airflow clear plant growth slows noticeably,Sulfur spray
Tomato_YellowLeaf_Curl_Virus,visual check indicates rapid flower often drop without fruit setting clear growth becomes stunted bushy,Horticultural oil
healthy,extensive flower appear healthy plentiful clear plant stand tall vigorous sporadic plant appear free pest disease,No pesticide needed
Late_blight,visible stem show brown streak near soil level severe infected tuber show dark firm patch beneath skin extensive new leaf become infected almost overnight,Sulfur spray
Tomato_YellowLeaf_Curl_Virus,visual check indicates extensive leaf edge show bright yellow coloring,Horticultural oil
Early_blight,inspection reveals rapid leaf yellow around brown lesion,Neem oil
Late_blight,inspection reveals severe infected tuber show dark firm patch beneath skin rapid whole field appear scorched dead notable stem show brown streak near soil level,Sulfur spray
healthy,agronomist note sudden plant maintain strong upright growth severe unusual odor detected field,No pesticide needed
Early_blight,extensive leaf edge appear scorched curled,Horticultural oil
Spider_mites_Two_spotted_spider_mite,farmer report slight mite thrive hot dry condition,Sulfur spray
Tomato_mosaic_virus,according grower extensive leaf may appear leathery,Biological predators
healthy,notable growth appears vigorous steady severe sign wilting discoloration notable plant maintain strong upright growth,No pesticide needed
